Organization Name,Industries,Headquarters Location,Description,CB Rank (Company)
PanOptica,"Biopharma, Biotechnology, Therapeutics","Mount Arlington, New Jersey, United States",PanOptica is a biopharma company developing ophthalmic therapeutics for the treatment of eye diseases.,30246
TrustCheckr,"Artificial Intelligence, Fraud Detection, Information Technology, Internet, Machine Learning","Bengaluru, Karnataka, India",TrustCheckr is a Bengaluru-based fraud analytics solution provider.,30247
Covalent,"Blockchain, Cryptocurrency, Data Integration, Data Visualization, Database, Developer APIs, Ethereum, FinTech, Information Technology, Software","Vancouver, British Columbia, Canada",Covalent is design to address a problem that is frequently overlooked: read-scalability.,30248
ReadCoor,"Biotechnology, Medical, Pharmaceutical","Cambridge, Massachusetts, United States",Leader in true multi-omic spatial sequencing,30249
Plotagon,"Apps, E-Learning, Internet, Software","Stockholm, Stockholms Lan, Sweden",Plotagon is a movie-making software to produce animated videos and cartoons.,30250
Invertex,"3D Technology, Computer, E-Commerce","Tel Aviv, Tel Aviv, Israel",Invertex leverages 3D scanning to allow a customer specific e-commerce experience and create mass customization product lines.,30251
MainStreaming,"Content Delivery Network, Digital Media, Information Technology, Video Streaming","Milano, Lombardia, Italy",MainStreaming enables broadcast-grade live video delivery at scale through EDGE networks.,30252
Machinery Partner,"Construction, Marketplace","Boston, Massachusetts, United States",Making owning machinery easy for Small & Growing Industrial businesses. A Techstars company.,30253
Daanaa,"Battery, Clean Energy, Consumer Electronics, Electric Vehicle, Energy, Energy Efficiency, Energy Management, Energy Storage, Renewable Energy, Solar","Vancouver, British Columbia, Canada",Daanaa’s proprietary semiconductor technology provides power transactions medium and modality free: wired or wireless in AC/DC modes.,30254
StoreDot,"Advanced Materials, Automotive, Battery, Electric Vehicle","Herzliya, Tel Aviv, Israel",StoreDot is a startup that develops batteries to replace the lithium-ion components used on drones and electric cars.,30255
Monkey,"Mobile Apps, Social Network, Video Chat","Los Angeles, California, United States",Monkey is a social networking app where like-minded people meet.,30256
Kollabo,"Human Resources, Marketing, Recruiting, SaaS, Service Industry, Staffing Agency","Zürich, Zurich, Switzerland",Kollabo - the deep job platform for skilled blue collar workers,30257
Vortx,"Financial Services, FinTech","São Paulo, Sao Paulo, Brazil",Vortx provided Innovation and transparency in fiduciary services,30258
Heads Up Health,"Analytics, Electronic Health Record (EHR), Health Care, Personal Health, Wellness","Scottsdale, Arizona, United States","Heads Up Health help individuals, sports teams and healthcare professionals make better decisions using data.",30259
Curated,"Communities, E-Commerce, Internet, Retail","San Francisco, California, United States",Curated humanizes online shopping by connecting customers with passionate experts.,30260
Clementia Pharmaceuticals,"Biopharma, Biotechnology, Medical","Montréal, Quebec, Canada",Clementia is a clinical-stage company innovating treatments for people with ultra-rare bone disorders.,30261
Contribution Labs,"Blockchain, Information Technology, Software","San Francisco, California, United States",Contribution Labs creates the building blocks of verified work to enable the contributor economy.,30262
Vopero,"E-Commerce, Fashion, Online Portals, Retail","Mexico City, Distrito Federal, Mexico",Full-service fashion resale marketplace in LATAM for sellers seeking convenience and buyers seeking the best deals on the brands they love.,30263
Anocca AB,Biotechnology,"Södertälje, Vasternorrlands Lan, Sweden","Anocca AB provides services like Biotechnology, Immunotherapeutics, Drug Discovery, Drug Development, Immunology.",30264
Node Capital,"Big Data, Blockchain, Cryptocurrency, Data Mining, Predictive Analytics","New York, New York, United States",Node Capital is a technology development and data science company which provides data science solutions.,30265
Storygize,"Advertising, Advertising Platforms, Content Marketing, Mobile Advertising, Video Advertising","Santa Barbara, California, United States",Storygize is a native technology platform designed to empower digital media buyers to achieve maximum results with minimum effort.,30266
Nomoko,"3D Technology, Automotive, Simulation","Zürich, Zurich, Switzerland",Nomoko builds the digital infrastructure for the 4th Industrial revolution. We call it the Mirror World,30267
Noh,"Finance, Payments, Social","São Paulo, Sao Paulo, Brazil",Shared account and card,30268
Smith Micro Software,"Mobile, Mobile Devices, Software, Video, Wireless","Pittsburgh, Pennsylvania, United States",Smith Micro Software develops mobility solutions that enable broadband connectivity and mobile convergence products over wireless networks.,30269
Tribe Capital,"Finance, Financial Services, Venture Capital","Menlo Park, California, United States",Tribe Capital is an early-stage venture capital firm that focuses on capturing a perpetual edge in venture and crypto using data science.,30270
I2 invest,"FinTech, Information Services, Information Technology, Lending, Marketplace","Zug, Zug, Switzerland",I2 invest is a marketplace Lending is revolutionising the classical banking system.,30271
tilr corporation,"Employment, Enterprise Applications, Recruiting, SaaS, Software","Cincinnati, Ohio, United States","tilr is an algorithmic hiring solution, matching workers with jobs based on skills and offering companies a new way to hire",30272
GSK,"Consumer, Health Care, Pharmaceutical, Venture Capital","Kelayres, Pennsylvania, United States",GSK Venture Fund is a Massachusetts-based venture capital fund focused on investments within the area of bioelectronics.,30273
Navitor Pharmaceuticals,"Biopharma, Biotechnology, Developer Platform, Health Diagnostics, Pharmaceutical","Cambridge, Massachusetts, United States",Navitor Pharma is a developer of novel medicines designed to target specific nutrient-sensing proteins to treat diseases.,30274
Great Jones,"Consumer Electronics, Consumer Goods, Cooking","New York, New York, United States","Great Jones is a modern kitchen company that equips, encourages, and inspires people to cook more frequently.",30275
BENQI Finance,"Bitcoin, Blockchain, Software","Newark, New Jersey, United States",BENQi is built on Avalanche combining elements of defi and tradfi to create a liquidity protocol.,30276
Macondo Vision,"Artificial Intelligence, Computer Vision, Industrial, Information Technology, Machine Learning, Retail, SaaS, Software, Supply Chain Management","Atlanta, Georgia, United States",Macondo Vision uses artificial intelligence and machine learning to optimize operational performance in industrial environments.,30277
Khyaal,"Elder Care, Elderly, Health Care","Mumbai, Maharashtra, India",Khyaal is a full-stack digital solution for senior citizens designed and developed to improve their quality of life.,30278
Movidius,"Artificial Intelligence, Machine Learning, Mobile, Product Design, Semiconductor, Software","San Mateo, California, United States",Movidius is a fabless semiconductor company and the leader in mobile vision processor technology for connected devices.,30279
Qlower,"Accounting, Financial Services, FinTech, Property Management, Real Estate, Real Estate Investment","Paris, Ile-de-France, France","Qlower, accounting & tax automation for European real estate investors.",30280
Mocero Health Solutions,"Delivery, Health Care, Home Health Care, Hospital, Software","Chennai, Tamil Nadu, India",Mocero Health Solutions is an HTIC- IIT Madras Incubated Company.,30281
Doorsey,E-Commerce,"Spokane, Washington, United States",Doorsey is an online platform to improve the home buying offer process.,30282
Allio Finance,"B2C, Financial Services, FinTech, Mobile Apps","Seattle, Washington, United States",Allio is the saving and investing app.,30283
BioBeats,"Artificial Intelligence, Fitness, Health Care, Machine Learning, Wellness","London, England, United Kingdom",BioBeats is a human company that creates digital artificial intelligence products to tackle mental health globally.,30284
Auction Mobility,"Auctions, E-Commerce, Mobile Apps, Online Auctions, Software, Web Development","Boston, Massachusetts, United States","Auction Mobility is a customized auction software platform that provides auction services to promote tablet, mobile, and the web.",30285
ParkMobile,"Mobile, Mobile Apps, Mobile Payments, Parking, Service Industry, Software","Atlanta, Georgia, United States",ParkMobile is the leading provider of smart parking and mobility solutions in North America.,30286
Zakher Marine International,"Marine Transportation, Oil and Gas, Shipping","Abu Dhabi, Abu Dhabi, United Arab Emirates","Zakher Marine International is a marine and offshore oil and gas industry as manning services, paining support vessels, salvage support etc.",30287
